,Species,Year,Seascapenr,LQL Juvenile Biomass,UQL Juvenile Biomass,LQL Adult Biomass,UQL Adult Biomass,Adult Biomass,Juvenile Biomass
0,Gadus morhua,1978,1.0,1.8725879890584045,13.842048678298006,11.81320649774792,9.084541869669474,20.897748367417393,15.71463666735641
1,Gadus morhua,1978,2.0,3.722632278676959,12.558512416807659,11.378701953017504,75.475756738959,86.8544586919765,16.281144695484617
2,Gadus morhua,1978,3.0,2.1631643469595683,3.6890202734441058,2.9533821474143513,5.329085971287192,8.282468118701543,5.852184620403675
3,Gadus morhua,1978,4.0,0.9575214597531084,2.3294029803607272,3.576953124319267,16.932841788295292,20.509794912614556,3.2869244401138347
4,Gadus morhua,1978,5.0,2.2199112905592475,8.496420107020011,4.533867463396988,8.910832131334905,13.444699594731892,10.716331397579253
5,Gadus morhua,1978,6.0,9.336623910463947,244.1561510901246,0.6232663955952517,3.011150145523224,3.6344165411184757,253.49277500058858
6,Gadus morhua,1978,7.0,0.04552524001852219,0.48545161853839397,3.9743180767570676,20.240621909515262,24.214939986272327,0.5309768585569161
7,Gadus morhua,1978,8.0,2.7407341466516906,37.378150542525574,5.0779156853010345,21.422546473244864,26.500462158545904,40.118884689177264
8,Gadus morhua,1978,9.0,1.0185901734587943,0.6556600680452211,1.1018036877181288,2.410874872514488,3.512678560232617,1.6742502415040152
9,Gadus morhua,1978,10.0,3.515398248670542,35.07313418274131,8.913710347063889,26.203264436897708,35.116974783961595,38.588532431411856
10,Gadus morhua,1979,1.0,0.3546757874103506,10.29913751059162,1.206172027727888,2.5800795958495,3.786251623577388,10.653813298001971
11,Gadus morhua,1979,2.0,0.9351137407484892,9.097195274344353,3.440996648312933,27.0165091220089,30.457505770321834,10.032309015092842
12,Gadus morhua,1979,3.0,1.3383616078349345,6.756768796737393,2.9254509184106565,0.5712803034058643,3.496731221816521,8.095130404572327
13,Gadus morhua,1979,4.0,0.5520442564346076,6.727629263363003,2.11551955585045,4.0453851403329,6.1609046961833505,7.279673519797611
14,Gadus morhua,1979,5.0,1.3502352817192336,37.020333289695785,9.844831703662551,12.225932423737907,22.070764127400455,38.37056857141503
15,Gadus morhua,1979,6.0,0.9413944137397081,34.03421385935034,8.654038607078805,10.85297601464552,19.507014621724323,34.97560827309005
16,Gadus morhua,1979,7.0,0.2986917749989608,20.30293668814451,1.7204983241564664,44.96903563357673,46.689533957733204,20.601628463143467
