"","Year","Seascapenr","Limanda limanda","Merlangius merlangus","Clupea harengus","Gadus morhua","Sprattus sprattus","Hyperoplus lanceolatus","Callionymus lyra","Scomber scombrus","Myoxocephalus scorpius","Platichthys flesus","Agonus cataphractus","Pleuronectes platessa","Eutrigla gurnardus","Amblyraja radiata","Squalus acanthias","Scyliorhinus canicula"
"1",1977,1,0.808582752630098,22.136579877528,0.0919636881972435,9.49110547745943,0.0429554296790133,0,0.00365018219247336,0,0,0,0,0.707887673638551,2.79118984439896,0,0.0295779760121018,0
"2",1977,2,0.0430113587078476,55.4074928616628,0.791690258969091,33.9916148440808,0,0,0,0,0,0,0.0320514304314118,0,4.90688030409483,0,0.420933369945411,0
"3",1977,3,2.85591786112826,11.0407579724638,4.23903563895599,23.0404239160012,0.0348986701435668,0,0.00640967893812804,0,0,0,0,1.45288131655307,0.309845265682323,0,0.234899717789747,0
"4",1977,5,5.26360595856713,6.71229304972401,0.199226501382273,5.64931075786171,0.0585957399405305,0,0,0.0403563389846275,0,0,0,0.643289456346972,1.99329342035117,0,9.14952561951871,0
"5",1977,6,29.0570885099434,0.957570050143697,1.19767026887157,0.203408059089639,NA,0,0,0,0.0167506502352496,0,0.0465392580296996,0.30106697212549,0,0,0,0
"6",1977,7,8.03061413896733,2.77584496642336,0.023550953822666,0.0848932704471124,0,0,0.00796059220637752,0,0,0,0,1.08461807467874,0.0465505731524704,0,0,0
"7",1977,8,30.2508144484717,20.9984046411065,12.3128465202321,9.48679096817434,NA,0,0.206153727178653,0,0.115697758167622,3.0036328405743,0.0115499414533111,16.5856333560925,0.0072213885968087,0,0,0
"8",1978,1,0.0876096027197664,95.1842744368434,0.321797773069258,36.6123850347738,0.0032476738383896,0,0,0,0,0,0,0,1.19072111566963,0,1.20525420503523,1.11150916704869
"9",1978,2,0,165.866799802076,4.28365615422596,103.135603387461,0,0,0,0,0,0,0,0,0,0,0,0
"10",1978,3,1.29398694178512,7.25600183958153,2.59378028513351,14.1346527391052,0.261003670371562,0,0.00282641411363411,0,0,0,0,0.325657021340633,0.0054163085806747,0,0.520008548815668,0.00166749206769187
"11",1978,4,2.71921700865214,209.585511717168,1.59817095399642,23.7967193527284,1.22557445768127,0,0,0.0530289905442338,0.0767407170767858,0,0,0.282369961161829,120.231108884813,0,231.871076491865,0
"12",1978,5,33.7746781095986,159.153783719063,5.43928784057916,24.1610309923111,6.14160483514862,0.00173993831188015,0,0.127197851826306,0,0,0.00168432668446762,2.0685778234913,2.53688328449068,0,2.7545822731425,0
"13",1978,6,6.34147847983147,10.4892319386739,23.7628656121476,257.127191541707,13.498749669561,0.0416236220916336,0,0,0,0.0912296650694224,0.0127607644730368,2.18450692623663,0,0,0,0
"14",1978,7,15.2033899210222,1.91936751976029,0.128581608775892,24.7459168448292,6.46989690504456,0,0,0,0,0,0,4.49112379866245,0,0,0,0
"15",1978,8,16.6588968020942,25.8034959042018,25.6216238171771,66.6193468477232,48.0859273930995,0,0.0022300976660826,0.00211071283200902,0,0.261568131888624,0.000777381546677365,5.35644763244819,0.0315396199827021,0,0,0
"16",1978,9,7.24137926356384,38.8383793971591,10.9595186345349,5.18692880173663,49.3500261855543,0,0,0,0,0,0,2.41922696463522,0,0,0,0
"17",1978,10,9.37339173631814,119.75978774173,15.4529682486697,73.7055072153735,22.7189419516672,0,0,0.0103967409954796,0,0.232345242565146,0.0036249819124528,1.76867592792498,0.0695448648957784,0,0,0
"18",1979,1,0.280294013804445,272.658614574137,8.01269562309284,14.4400649215794,0.024838274586301,0,0,0,0,0,0,0.0755921893621852,0.249769317532455,0,0.29305734791449,0.098979016437978
"19",1979,2,0,140.872694771792,0.380672767540385,40.4898147854147,0.115310467116594,0,0,0,0,0,0,0,0.608932544178666,0,0,0
"20",1979,3,7.24217849876268,28.7421567265701,0.214802605877366,11.5918616263888,2.77410572617864,0,0.000801259505664883,0.00441858549183975,0,0,0,0.830067734199843,0.00989676222845018,0.0895535472557779,0.138576329865586,0
"21",1979,4,0.604954647517029,46.0616863681359,1.61180732369967,13.440578215981,0.39882721156327,0,0,0.014336,0.429415507250454,0,0,0.0499661466587169,0.18742530995778,0,12.4248411344543,0
"22",1979,5,0.0512008972259304,24.0804076463526,3.47311856342245,60.4413326988155,2.70100705641144,0,0,0,0,0,0,1.44313385611698,0.00650861815553937,0,0,0
"23",1979,6,2.41199539188385,0.801984216965653,1.26831653706645,54.4826228948144,0.963803579635918,0,0,0,0.160163324822519,0.0980339522058203,0,7.38111298128289,0,0,0,0
"24",1979,7,4.33877660825029,4.09769357825243,0.368994973914306,67.2911624208767,5.08355093203362,0,0,0,0,0,0,1.66662941616908,0.17040145038597,0,0,0
"25",1979,8,8.67887301679438,46.5299632187633,2.69246659471337,59.2846285226945,4.85475483877118,0,0,0.00130327272727273,0.0112629650775598,0.106344116799574,0.00508971828336822,4.2380077534079,0.0129989165232898,0,0,0
"26",1979,9,0,323.636249015156,5.46321094048561,54.0868879776201,5.48648218295276,0,0,0,0,0,0,0,0,0,0,0
"27",1979,10,9.84308585832965,18.5727657144618,3.55586440716811,63.7657478510909,5.24955112346252,0,0.00286140043845798,0,0.020605040841299,0.215076954181618,0.00111731638413668,2.33304290549094,0.00594944193212684,0,0,0
