"","Seascapes","lag-year","lag","cor","lwr_conf","upr_conf"
"1","1 & 2","1977 - 1978",1,-0.0614506407365126,0.000544516088677872,-0.12297524721509
"2","1 & 2","1978 - 1979",1,-0.0665206942754907,-0.00454636017646023,-0.127985985223582
"3","1 & 2","1979 - 1980",1,-0.069557048872402,-0.00759672388703798,-0.130985315357866
"4","1 & 2","1980 - 1981",1,-0.0659740983369875,-0.00399736482699482,-0.12744593488383
"5","1 & 2","1981 - 1982",1,-0.0557369780118937,0.00627779618485988,-0.117324667740527
"6","1 & 2","1982 - 1983",1,-0.0454700264276745,0.0165697633534666,-0.107161040466048
"7","1 & 2","1983 - 1984",1,-0.0355414800507214,0.0265100126300102,-0.0973201345604078
"8","1 & 2","1984 - 1985",1,-0.0207758191485707,0.0412704178610799,-0.0826624359629168
"9","1 & 2","1985 - 1986",1,6.53141747528872e-05,0.0620581453828243,-0.0619280190566488
"10","1 & 2","1986 - 1987",1,0.0216878011519579,0.0835685262825701,-0.0403595444823206
"11","1 & 2","1987 - 1988",1,0.0361458408238949,0.0979195060522967,-0.0259052900283106
"12","1 & 2","1988 - 1989",1,0.0379007829171223,0.0996597063135501,-0.0241490398206641
"13","1 & 2","1989 - 1990",1,0.0295519277303412,0.0913776050618551,-0.0325006965194049
"14","1 & 2","1990 - 1991",1,0.0196072442473807,0.0815012608469268,-0.0424374214949505
"15","1 & 2","1991 - 1992",1,0.0133564404475975,0.0752871846213481,-0.048676946884171
"16","1 & 2","1992 - 1993",1,0.0109635494035204,0.0729070795531615,-0.0510642396163741
"17","1 & 2","1993 - 1994",1,0.0105534678668789,0.072499118381563,-0.0514732906050957
"18","1 & 2","1994 - 1995",1,0.0105990936515696,0.0725445092787085,-0.0514277805083928
"19","1 & 2","1995 - 1996",1,0.0104894088066758,0.0724353886727753,-0.0515371868034407
"20","1 & 2","1996 - 1997",1,0.00986948206718847,0.0718186230716159,-0.0521555112239427
"21","1 & 2","1997 - 1998",1,0.00886758471034822,0.0708217344386234,-0.0531547184582902
"22","1 & 2","1998 - 1999",1,0.00952763991698902,0.0714785037815036,-0.0524964494768617
"23","1 & 2","1999 - 2000",1,0.015299483885597,0.077219326758825,-0.0467379277537957
"24","1 & 2","2000 - 2001",1,0.0272722891425789,0.0891147059920505,-0.0347795949677566
"25","1 & 2","2001 - 2002",1,0.0417271643415516,0.103452636007222,-0.0203184778896284
"26","1 & 2","2002 - 2003",1,0.0511056324347357,0.112741527696135,-0.0109220532504433
"27","1 & 2","2003 - 2004",1,0.049283848727036,0.11093798707108,-0.0127481827396093
"28","1 & 2","2004 - 2005",1,0.0390537728881246,0.100802805351963,-0.0229949819125151
"29","1 & 2","2005 - 2006",1,0.0294205571037566,0.0912472164329328,-0.0326320420152831
"30","1 & 2","2006 - 2007",1,0.0251016751663584,0.0869594374411034,-0.0369489046238668
"31","1 & 2","2007 - 2008",1,0.0237102683984696,0.085577562764867,-0.0383391677778731
